"","x"
"513",-0.590127087070863
"514",-0.733729578919248
"515",-0.957140637552674
"516",-1.12699376674966
"517",-1.26677977537492
"518",-1.72583943329436
"519",0.0267855622171769
"520",-0.0342592520510145
"521",-0.198872385451442
"522",-0.326228491894225
"523",-0.524461861948226
"524",-0.675210779207284
"525",-0.799515852754222
"526",-1.20715812014664
"527",0.412750276258828
"528",0.33956227382202
"529",0.19712005210649
"530",0.0845200659395557
"531",-0.0892318985007619
"532",-0.222454028192947
"533",-0.329851256767332
"534",-0.684682243543411
"535",0.797138604669321
"536",0.716425670078991
"537",0.593640627848162
"538",0.496435488732705
"539",0.348614725482378
"540",0.234263161172097
"541",0.142278924926641
"542",-0.161647012736971
"543",1.18295195948911
"544",1.09596600331698
"545",0.99387537744659
"546",0.91226792652902
"547",0.789145506294868
"548",0.693581701075036
"549",0.616941631198383
"550",0.363701617865201
"551",1.56500075290265
"552",1.47868739833895
"553",1.39522151852537
"554",1.3309693544771
"555",1.23243001056321
"556",1.15557086673218
"557",1.09420587423695
"558",0.891431818158533
"559",-1.12800986467941
"560",-1.1364148237681
"561",-1.32240361840045
"562",-1.46491164343393
"563",-1.68028102247438
"564",-1.83946664139283
"565",-1.96754632511801
"566",-2.37328720950965
"567",-0.806724610377462
"568",-0.829761002525987
"569",-1.00094357869819
"570",-1.13373477604995
"571",-1.33026493689241
"572",-1.47829250110998
"573",-1.59309467506656
"574",-1.96846223086897
"575",-0.484808080875233
"576",-0.520887463021378
"577",-0.67895521990098
"578",-0.798649154695373
"579",-0.978299766118673
"580",-1.11328500909647
"581",-1.21752872098029
"582",-1.56198928288383
"583",-0.16230539746902
"584",-0.211247178725138
"585",-0.352947819740978
"586",-0.461456460029228
"587",-0.624330243383004
"588",-0.747923841702293
"589",-0.841857435741579
"590",-1.15381392368009
"591",0.160720450832672
"592",0.102473433314135
"593",-0.0247054956439543
"594",-0.122099324817956
"595",-0.269717269200901
"596",-0.378620754582519
"597",-0.463152512819995
"598",-0.743879866850427
"599",0.484182324788827
"600",0.418582723297119
"601",0.305831174245615
"602",0.219481491840943
"603",0.088987009744266
"604",-0.00556575905583088
"605",-0.08246775529512
"606",-0.332128936063847
"607",0.807959600562149
"608",0.737142271227523
"609",0.638723527942042
"610",0.561867142164157
"611",0.44893724842176
"612",0.366546582274967
"613",0.300257240678187
"614",0.0814989807393799
"615",1.13047465473852
"616",1.05821561487106
"617",0.972653379926038
"618",0.908722598362623
"619",0.815413664061403
"620",0.741752916778396
"621",0.682980119252825
"622",0.497065977554401
"623",-0.860848773237449
"624",-0.882311799163578
"625",-1.02803842271215
"626",-1.13815863127655
"627",-1.30287147590355
"628",-1.42212922256679
"629",-1.51597806093709
"630",-1.80806451311049
"631",-0.584826820127128
"632",-0.61770202303649
"633",-0.752578095954185
"634",-0.854399369800533
"635",-1.00486263540243
"636",-1.11522369860934
"637",-1.20405325021506
"638",-1.47246609936086
"639",-0.307963852648398
"640",-0.34910920715916
"641",-0.47313851847777
"642",-0.566782416671994
